taxonID	area	gazetteer	status	referenceID
1251	Namibia	Text	Native	
1272	South Africa	Text	Native	
642	Namibia	Text	Native	
196	South Africa	Text	Native	
374	Democratic Republic of Congo	Text	Native	
435	Tanzania	Text	Native	
672	Angola	Text	Native	
730	Angola	Text	Native	
628	Namibia	Text	Native	
376	Zimbabwe	Text	Native	
797	Zambia	Text	Native	
1293	Namibia	Text	Native	
1000	Somalia	Text	Native	
13	South Africa	Text	Native	
747	Zambia	Text	Native	
1382	Zimbabwe	Text	Native	
80	Tanzania	Text	Native	
1230	South Africa	Text	Native	
1364	South Africa	Text	Native	
991	Somalia	Text	Native	
202	South Africa	Text	Native	
286	South Africa	Text	Native	
1347	South Africa	Text	Native	
1311	Zimbabwe	Text	Native	
58	South Africa	Text	Native	
303	Namibia	Text	Native	
1220	South Africa	Text	Native	
91	Kenya	Text	Native	
299	South Africa	Text	Native	
360	Ethiopia	Text	Native	
253	South Africa	Text	Native	
1342	Angola	Text	Native	
1258	Angola	Text	Native	
1044	Italy	Text	Native	
160	Sudan	Text	Native	
306	South Africa	Text	Native	
824	South Africa	Text	Native	
717	Zambia	Text	Native	
145	South Africa	Text	Native	
376	Democratic Republic of Congo	Text	Native	
730	Namibia	Text	Native	
1358	Namibia	Text	Native	
73	Tanzania	Text	Native	
140	South Africa	Text	Native	
820	Mozambique	Text	Native	
1173	Namibia	Text	Native	
999	Somalia	Text	Native	
409	South Africa	Text	Native	
1213	South Africa	Text	Native	
1293	Botswana	Text	Native	
1481	South Africa	Text	Native	
1319	South Africa	Text	Native	
72	Ethiopia	Text	Native	
238	South Africa	Text	Native	
375	Mozambique	Text	Native	
736	Democratic Republic of Congo	Text	Native	
814	Namibia	Text	Native	
1248	Zimbabwe	Text	Native	
428	Eritrea	Text	Native	
45	South Africa	Text	Native	
381	Zambia	Text	Native	
1236	Botswana	Text	Native	
128	Madagascar	Text	Native	
1245	South Africa	Text	Native	
29	Namibia	Text	Native	
307	South Africa	Text	Native	
322	South Africa	Text	Native	
715	Botswana	Text	Native	
765	Namibia	Text	Native	
809	Zambia	Text	Native	
1341	Namibia	Text	Native	
23	South Africa	Text	Native	
138	South Africa	Text	Native	
228	South Africa	Text	Native	
416	South Africa	Text	Native	
763	Angola	Text	Native	
764	South Africa	Text	Native	
316	South Africa	Text	Native	
745	Democratic Republic of Congo	Text	Native	
8	Namibia	Text	Native	
31	Namibia	Text	Native	
121	Democratic Republic of Congo	Text	Native	
240	South Africa	Text	Native	
251	South Africa	Text	Native	
234	South Africa	Text	Native	
623	South Africa	Text	Native	
349	Ethiopia	Text	Native	
1175	Zambia	Text	Native	
1290	South Africa	Text	Native	
619	Namibia	Text	Native	
104	South Africa	Text	Native	
699	Namibia	Text	Native	
1242	Namibia	Text	Native	
1100	Somalia	Text	Native	
591	Zambia	Text	Native	
308	South Africa	Text	Native	
801	Namibia	Text	Native	
1209	South Africa	Text	Native	
790	Namibia	Text	Native	
1265	South Africa	Text	Native	
1481	Namibia	Text	Native	
1021	Egypt	Text	Native	
647	Namibia	Text	Native	
346	Ethiopia	Text	Native	
1355	Namibia	Text	Native	
68	South Africa	Text	Native	
348	Tanzania	Text	Native	
378	Zambia	Text	Native	
719	Angola	Text	Native	
273	South Africa	Text	Native	
1254	South Africa	Text	Native	
1049	Morocco	Text	Native	
1026	Libya	Text	Native	
26	South Africa	Text	Native	
595	Zambia	Text	Native	
370	Mozambique	Text	Native	
781	South Africa	Text	Native	
1060	Malawi	Text	Native	
593	Namibia	Text	Native	
747	Angola	Text	Native	
809	Zimbabwe	Text	Native	
144	South Africa	Text	Native	
323	South Africa	Text	Native	
670	Democratic Republic of Congo	Text	Native	
801	Botswana	Text	Native	
1024	Morocco	Text	Native	
135	Somalia	Text	Native	
367	Somalia	Text	Native	
715	Namibia	Text	Native	
738	Zimbabwe	Text	Native	
1206	Zimbabwe	Text	Native	
1047	Algeria	Text	Native	
97	South Africa	Text	Native	
770	Namibia	Text	Native	
1109	Tunisia	Text	Native	
1047	Morocco	Text	Native	
6	Democratic Republic of Congo	Text	Native	
179	Tanzania	Text	Native	
771	Zimbabwe	Text	Native	
827	Angola	Text	Native	
810	Democratic Republic of Congo	Text	Native	
1287	South Africa	Text	Native	
599	Zimbabwe	Text	Native	
648	Angola	Text	Native	
709	Somalia	Text	Native	
1212	South Africa	Text	Native	
1331	South Africa	Text	Native	
615	Namibia	Text	Native	
392	Chad	Text	Native	
7	South Africa	Text	Native	
813	Botswana	Text	Native	
1178	Namibia	Text	Native	
1301	South Africa	Text	Native	
1362	Namibia	Text	Native	
1032	Morocco	Text	Native	
1071	Somalia	Text	Native	
767	Mozambique	Text	Native	
644	Namibia	Text	Native	
139	South Africa	Text	Native	
787	Namibia	Text	Native	
22	South Africa	Text	Native	
590	Namibia	Text	Native	
742	South Africa	Text	Native	
1355	Botswana	Text	Native	
165	Somalia	Text	Native	
169	Ethiopia	Text	Native	
343	Eritrea	Text	Native	
801	Angola	Text	Native	
812	Angola	Text	Native	
1205	South Africa	Text	Native	
1355	Zimbabwe	Text	Native	
1370	South Africa	Text	Native	
608	South Africa	Text	Native	
112	Angola	Text	Native	
418	South Africa	Text	Native	
832	Botswana	Text	Native	
834	Angola	Text	Native	
791	Namibia	Text	Native	
154	Zambia	Text	Native	
161	Central African Republic	Text	Native	
688	Democratic Republic of Congo	Text	Native	
1238	South Africa	Text	Native	
786	Namibia	Text	Native	
815	Botswana	Text	Native	
1256	Namibia	Text	Native	
43	Namibia	Text	Native	
831	Democratic Republic of Congo	Text	Native	
2	Botswana	Text	Native	
592	Namibia	Text	Native	
37	South Africa	Text	Native	
617	South Africa	Text	Native	
67	South Africa	Text	Native	
93	Ethiopia	Text	Native	
157	Somalia	Text	Native	
833	South Africa	Text	Native	
817	Namibia	Text	Native	
1273	South Africa	Text	Native	
123	Angola	Text	Native	
142	South Africa	Text	Native	
184	Mozambique	Text	Native	
380	Zambia	Text	Native	
760	Zimbabwe	Text	Native	
1172	Namibia	Text	Native	
725	Democratic Republic of Congo	Text	Native	
812	Democratic Republic of Congo	Text	Native	
1356	Zimbabwe	Text	Native	
158	Senegal	Text	Native	
789	Botswana	Text	Native	
803	Zambia	Text	Native	
1327	South Africa	Text	Native	
1240	Botswana	Text	Native	
351	Somalia	Text	Native	
681	Angola	Text	Native	
720	Democratic Republic of Congo	Text	Native	
1296	South Africa	Text	Native	
1375	South Africa	Text	Native	
204	Mozambique	Text	Native	
333	South Africa	Text	Native	
336	South Africa	Text	Native	
346	Kenya	Text	Native	
722	South Africa	Text	Native	
808	South Africa	Text	Native	
107	Democratic Republic of Congo	Text	Native	
679	Angola	Text	Native	
714	Namibia	Text	Native	
718	Guinea	Text	Native	
1305	South Africa	Text	Native	
246	South Africa	Text	Native	
1215	South Africa	Text	Native	
1253	South Africa	Text	Native	
804	Namibia	Text	Native	
640	Botswana	Text	Native	
268	South Africa	Text	Native	
711	South Africa	Text	Native	
1279	South Africa	Text	Native	
1295	South Africa	Text	Native	
1383	South Africa	Text	Native	
380	Mozambique	Text	Native	
785	South Africa	Text	Native	
1339	Namibia	Text	Native	
1249	Namibia	Text	Native	
1314	South Africa	Text	Native	
1102	Somalia	Text	Native	
649	Angola	Text	Native	
4	Namibia	Text	Native	
36	Namibia	Text	Native	
160	Cameroon	Text	Native	
370	Tanzania	Text	Native	
667	South Africa	Text	Native	
1374	South Africa	Text	Native	
21	South Africa	Text	Native	
78	Tanzania	Text	Native	
267	South Africa	Text	Native	
344	Zambia	Text	Native	
741	Democratic Republic of Congo	Text	Native	
1379	South Africa	Text	Native	
203	South Africa	Text	Native	
209	South Africa	Text	Native	
1185	Zambia	Text	Native	
1252	South Africa	Text	Native	
734	Botswana	Text	Native	
607	South Africa	Text	Native	
103	Zimbabwe	Text	Native	
1009	Algeria	Text	Native	
103	South Africa	Text	Native	
271	South Africa	Text	Native	
1191	Democratic Republic of Congo	Text	Native	
1223	South Africa	Text	Native	
1237	Namibia	Text	Native	
1061	Namibia	Text	Native	
153	Kenya	Text	Native	
201	South Africa	Text	Native	
706	South Africa	Text	Native	
1226	South Africa	Text	Native	
75	Tanzania	Text	Native	
124	Zambia	Text	Native	
170	Ethiopia	Text	Native	
671	South Africa	Text	Native	
1267	South Africa	Text	Native	
809	Botswana	Text	Native	
603	Namibia	Text	Native	
622	Botswana	Text	Native	
65	South Africa	Text	Native	
417	Angola	Text	Native	
363	Eritrea	Text	Native	
768	Democratic Republic of Congo	Text	Native	
616	South Africa	Text	Native	
707	Democratic Republic of Congo	Text	Native	
1361	Namibia	Text	Native	
1275	South Africa	Text	Native	
803	Angola	Text	Native	
1108	Tunisia	Text	Native	
649	Namibia	Text	Native	
57	South Africa	Text	Native	
64	Zimbabwe	Text	Native	
766	South Africa	Text	Native	
405	Nigeria	Text	Native	
419	South Africa	Text	Native	
798	Namibia	Text	Native	
29	South Africa	Text	Native	
35	South Africa	Text	Native	
614	Namibia	Text	Native	
171	Somalia	Text	Native	
1243	Namibia	Text	Native	
1250	Botswana	Text	Native	
338	Namibia	Text	Native	
1183	Angola	Text	Native	
1194	Angola	Text	Native	
1219	South Africa	Text	Native	
30	Namibia	Text	Native	
723	Zimbabwe	Text	Native	
703	South Africa	Text	Native	
708	South Africa	Text	Native	
1326	South Africa	Text	Native	
329	South Africa	Text	Native	
1039	Morocco	Text	Native	
8	Angola	Text	Native	
20	South Africa	Text	Native	
1379	Lesotho	Text	Native	
292	South Africa	Text	Native	
421	Benin	Text	Native	
761	South Africa	Text	Native	
1186	Tanzania	Text	Native	
1113	Sudan	Text	Native	
1098	Somalia	Text	Native	
25	South Africa	Text	Native	
664	Mozambique	Text	Native	
769	South Africa	Text	Native	
1023	Morocco	Text	Native	
1025	Morocco	Text	Native	
832	South Africa	Text	Native	
1224	South Africa	Text	Native	
1225	South Africa	Text	Native	
996	Somalia	Text	Native	
597	Angola	Text	Native	
79	Tanzania	Text	Native	
435	Zambia	Text	Native	
779	Angola	Text	Native	
432	Democratic Republic of Congo	Text	Native	
1073	Tanzania	Text	Native	
96	Somalia	Text	Native	
194	South Africa	Text	Native	
265	South Africa	Text	Native	
829	Zimbabwe	Text	Native	
789	Namibia	Text	Native	
1098	Kenya	Text	Native	
99	Mozambique	Text	Native	
148	South Africa	Text	Native	
763	Democratic Republic of Congo	Text	Native	
813	Zimbabwe	Text	Native	
1238	Namibia	Text	Native	
1302	South Africa	Text	Native	
403	Kenya	Text	Native	
772	Tanzania	Text	Native	
1269	Lesotho	Text	Native	
431	Kenya	Text	Native	
814	Botswana	Text	Native	
1233	South Africa	Text	Native	
1245	Namibia	Text	Native	
14	Namibia	Text	Native	
601	Namibia	Text	Native	
612	Namibia	Text	Native	
696	Mozambique	Text	Native	
1203	Zimbabwe	Text	Native	
5	Zambia	Text	Native	
765	Zimbabwe	Text	Native	
1340	Namibia	Text	Native	
670	South Africa	Text	Native	
680	Zambia	Text	Native	
1187	Angola	Text	Native	
1291	South Africa	Text	Native	
645	Angola	Text	Native	
401	Somalia	Text	Native	
146	South Africa	Text	Native	
155	Kenya	Text	Native	
1292	South Africa	Text	Native	
1066	Kenya	Text	Native	
1057	Yemen	Text	Native	
640	Zimbabwe	Text	Native	
834	Guinea	Text	Native	
1246	South Africa	Text	Native	
1381	Zimbabwe	Text	Native	
998	Somalia	Text	Native	
1112	Angola	Text	Native	
111	South Africa	Text	Native	
213	South Africa	Text	Native	
326	Namibia	Text	Native	
1368	South Africa	Text	Native	
1038	Morocco	Text	Native	
9	Namibia	Text	Native	
622	Namibia	Text	Native	
291	Namibia	Text	Native	
1174	Democratic Republic of Congo	Text	Native	
1316	South Africa	Text	Native	
1094	Tanzania	Text	Native	
1330	South Africa	Text	Native	
1034	Morocco	Text	Native	
821	Mozambique	Text	Native	
675	Mozambique	Text	Native	
705	Mozambique	Text	Native	
749	Angola	Text	Native	
1248	Botswana	Text	Native	
1250	Zimbabwe	Text	Native	
173	Somalia	Text	Native	
382	Somalia	Text	Native	
698	Angola	Text	Native	
731	Namibia	Text	Native	
1277	South Africa	Text	Native	
33	South Africa	Text	Native	
167	South Sudan	Text	Native	
1216	South Africa	Text	Native	
77	Kenya	Text	Native	
220	South Africa	Text	Native	
361	Kenya	Text	Native	
1040	Egypt	Text	Native	
132	Madagascar	Text	Native	
775	Angola	Text	Native	
1228	South Africa	Text	Native	
1260	South Africa	Text	Native	
1310	South Africa	Text	Native	
1334	South Africa	Text	Native	
1033	Iraq	Text	Native	
606	South Africa	Text	Native	
172	Somalia	Text	Native	
239	Namibia	Text	Native	
328	South Africa	Text	Native	
815	South Africa	Text	Native	
1297	South Africa	Text	Native	
767	South Africa	Text	Native	
1231	South Africa	Text	Native	
1249	South Africa	Text	Native	
1058	Somalia	Text	Native	
626	South Africa	Text	Native	
399	Somalia	Text	Native	
225	South Africa	Text	Native	
1269	South Africa	Text	Native	
137	Somalia	Text	Native	
372	Democratic Republic of Congo	Text	Native	
666	Tanzania	Text	Native	
787	South Africa	Text	Native	
1199	South Africa	Text	Native	
1240	Zambia	Text	Native	
66	Mozambique	Text	Native	
108	South Africa	Text	Native	
126	South Africa	Text	Native	
702	South Africa	Text	Native	
798	Zambia	Text	Native	
396	Madagascar	Text	Native	
283	South Africa	Text	Native	
1227	South Africa	Text	Native	
1234	South Africa	Text	Native	
1332	South Africa	Text	Native	
221	South Africa	Text	Native	
753	South Africa	Text	Native	
1359	Namibia	Text	Native	
1009	Italy	Text	Native	
1070	Tanzania	Text	Native	
133	Ethiopia	Text	Native	
154	Burundi	Text	Native	
826	South Africa	Text	Native	
1349	South Africa	Text	Native	
1364	Namibia	Text	Native	
762	South Africa	Text	Native	
320	South Africa	Text	Native	
1221	South Africa	Text	Native	
1107	Morocco	Text	Native	
1064	Tanzania	Text	Native	
86	Tanzania	Text	Native	
154	Democratic Republic of Congo	Text	Native	
198	South Africa	Text	Native	
245	South Africa	Text	Native	
354	Tanzania	Text	Native	
390	Tanzania	Text	Native	
395	Madagascar	Text	Native	
342	Eritrea	Text	Native	
752	South Africa	Text	Native	
1177	Botswana	Text	Native	
193	South Africa	Text	Native	
1345	Angola	Text	Native	
28	South Africa	Text	Native	
674	Democratic Republic of Congo	Text	Native	
1178	Angola	Text	Native	
1262	South Africa	Text	Native	
1168	South Africa	Text	Native	
1239	Namibia	Text	Native	
1298	South Africa	Text	Native	
1322	South Africa	Text	Native	
1325	South Africa	Text	Native	
1037	Libya	Text	Native	
597	Namibia	Text	Native	
310	South Africa	Text	Native	
729	South Africa	Text	Native	
1055	Ethiopia	Text	Native	
712	South Africa	Text	Native	
634	Tanzania	Text	Native	
434	Zambia	Text	Native	
713	Cameroon	Text	Native	
818	Namibia	Text	Native	
1348	Zimbabwe	Text	Native	
88	Ethiopia	Text	Native	
728	Angola	Text	Native	
1312	South Africa	Text	Native	
200	South Africa	Text	Native	
334	South Africa	Text	Native	
707	Angola	Text	Native	
795	South Africa	Text	Native	
1244	Namibia	Text	Native	
1366	South Africa	Text	Native	
691	Zambia	Text	Native	
759	Zambia	Text	Native	
71	South Africa	Text	Native	
389	Tanzania	Text	Native	
685	Botswana	Text	Native	
798	Zimbabwe	Text	Native	
651	Namibia	Text	Native	
1263	South Africa	Text	Native	
1283	Namibia	Text	Native	
631	Zimbabwe	Text	Native	
233	Lesotho	Text	Native	
250	South Africa	Text	Native	
297	South Africa	Text	Native	
605	South Africa	Text	Native	
695	Angola	Text	Native	
790	Zambia	Text	Native	
1307	Tanzania	Text	Native	
424	Rwanda	Text	Native	
798	South Africa	Text	Native	
1481	Zimbabwe	Text	Native	
1110	Angola	Text	Native	
638	Zambia	Text	Native	
400	Ethiopia	Text	Native	
682	Zambia	Text	Native	
1268	South Africa	Text	Native	
1289	Namibia	Text	Native	
598	Zimbabwe	Text	Native	
191	South Africa	Text	Native	
284	South Africa	Text	Native	
288	South Africa	Text	Native	
665	Mozambique	Text	Native	
727	Mozambique	Text	Native	
704	South Africa	Text	Native	
767	Zimbabwe	Text	Native	
778	Zambia	Text	Native	
1179	Angola	Text	Native	
1184	Tanzania	Text	Native	
1274	South Africa	Text	Native	
356	Sudan	Text	Native	
783	Angola	Text	Native	
817	Botswana	Text	Native	
774	Mozambique	Text	Native	
817	South Africa	Text	Native	
1202	Democratic Republic of Congo	Text	Native	
1045	Egypt	Text	Native	
425	Somalia	Text	Native	
662	Mozambique	Text	Native	
1170	South Africa	Text	Native	
637	Tanzania	Text	Native	
60	Mozambique	Text	Native	
402	Somalia	Text	Native	
189	South Africa	Text	Native	
222	South Africa	Text	Native	
358	Kenya	Text	Native	
181	Tanzania	Text	Native	
788	Democratic Republic of Congo	Text	Native	
1354	South Africa	Text	Native	
1076	Saudi Arabia	Text	Native	
406	Somalia	Text	Native	
180	Mozambique	Text	Native	
1285	South Africa	Text	Native	
1304	Zimbabwe	Text	Native	
59	South Africa	Text	Native	
747	zambia	Text	Native	
794	Botswana	Text	Native	
1201	South Africa	Text	Native	
1207	South Africa	Text	Native	
1365	South Africa	Text	Native	
1315	South Africa	Text	Native	
997	Somalia	Text	Native	
317	South Africa	Text	Native	
438	Tanzania	Text	Native	
811	Democratic Republic of Congo	Text	Native	
70	South Africa	Text	Native	
393	Somalia	Text	Native	
422	Somalia	Text	Native	
1181	Tanzania	Text	Native	
1333	South Africa	Text	Native	
40	South Africa	Text	Native	
600	Namibia	Text	Native	
621	South Africa	Text	Native	
159	Republic of Congo	Text	Native	
2	South Africa	Text	Native	
84	Tanzania	Text	Native	
118	Angola	Text	Native	
1196	Democratic Republic of Congo	Text	Native	
1242	South Africa	Text	Native	
1048	Algeria	Text	Native	
1098	Ethiopia	Text	Native	
629	Namibia	Text	Native	
160	Senegal	Text	Native	
365	Ethiopia	Text	Native	
757	Democratic Republic of Congo	Text	Native	
1371	South Africa	Text	Native	
1324	South Africa	Text	Native	
800	South Africa	Text	Native	
183	Tanzania	Text	Native	
793	Democratic Republic of Congo	Text	Native	
1176	Namibia	Text	Native	
199	South Africa	Text	Native	
252	South Africa	Text	Native	
341	Kenya	Text	Native	
690	South Africa	Text	Native	
765	South Africa	Text	Native	
1376	South Africa	Text	Native	
613	Namibia	Text	Native	
384	Yemen	Text	Native	
750	South Africa	Text	Native	
1214	South Africa	Text	Native	
673	Democratic Republic of Congo	Text	Native	
735	Democratic Republic of Congo	Text	Native	
1182	Mozambique	Text	Native	
630	Namibia	Text	Native	
633	Tanzania	Text	Native	
90	Kenya	Text	Native	
247	Namibia	Text	Native	
1299	Botswana	Text	Native	
16	South Africa	Text	Native	
676	Democratic Republic of Congo	Text	Native	
169	Somalia	Text	Native	
426	Tanzania	Text	Native	
431	Democratic Republic of Congo	Text	Native	
1373	Swaziland	Text	Native	
175	Somalia	Text	Native	
1083	Tanzania	Text	Native	
608	Namibia	Text	Native	
150	South Africa	Text	Native	
405	Cameroon	Text	Native	
129	Madagascar	Text	Native	
217	South Africa	Text	Native	
693	South Africa	Text	Native	
604	Namibia	Text	Native	
727	Zimbabwe	Text	Native	
815	Namibia	Text	Native	
1286	South Africa	Text	Native	
1379	Botswana	Text	Native	
1101	Somalia	Text	Native	
610	South Africa	Text	Native	
106	Zimbabwe	Text	Native	
174	Democratic Republic of Congo	Text	Native	
796	Namibia	Text	Native	
1377	Namibia	Text	Native	
1031	Portugal	Text	Native	
373	Democratic Republic of Congo	Text	Native	
660	Angola	Text	Native	
810	Angola	Text	Native	
1266	South Africa	Text	Native	
1328	South Africa	Text	Native	
1062	Tanzania	Text	Native	
1180	Democratic Republic of Congo	Text	Native	
1222	South Africa	Text	Native	
32	Namibia	Text	Native	
589	Namibia	Text	Native	
120	Angola	Text	Native	
678	Mozambique	Text	Native	
804	Zambia	Text	Native	
816	Democratic Republic of Congo	Text	Native	
833	Togo	Text	Native	
1306	South Africa	Text	Native	
416	Namibia	Text	Native	
340	Somalia	Text	Native	
38	South Africa	Text	Native	
611	South Africa	Text	Native	
627	Namibia	Text	Native	
89	Ethiopia	Text	Native	
147	Namibia	Text	Native	
249	South Africa	Text	Native	
792	Tanzania	Text	Native	
992	Somalia	Text	Native	
1068	Tanzania	Text	Native	
828	Zimbabwe	Text	Native	
1078	Tanzania	Text	Native	
1	Namibia	Text	Native	
186	South Africa	Text	Native	
408	Namibia	Text	Native	
411	South Africa	Text	Native	
427	Kenya	Text	Native	
825	Democratic Republic of Congo	Text	Native	
42	Namibia	Text	Native	
115	Angola	Text	Native	
661	Zimbabwe	Text	Native	
1367	South Africa	Text	Native	
85	Tanzania	Text	Native	
790	Angola	Text	Native	
10	South Africa	Text	Native	
368	Kenya	Text	Native	
790	Zimbabwe	Text	Native	
1372	South Africa	Text	Native	
609	Namibia	Text	Native	
233	South Africa	Text	Native	
371	Zambia	Text	Native	
773	Mozambique	Text	Native	
1200	Angola	Text	Native	
1089	Tanzania	Text	Native	
625	Namibia	Text	Native	
91	Tanzania	Text	Native	
398	Somalia	Text	Native	
