ID	ReferenceType	ReferenceID
340	NomRef	64
341	NomRef	83
342	NomRef	64
343	NomRef	84
344	NomRef	69
345	NomRef	33
346	NomRef	85
347	NomRef	46
348	NomRef	69
349	NomRef	83
350	NomRef	69
351	NomRef	69
352	NomRef	83
353	NomRef	54
354	NomRef	69
355	NomRef	69
356	NomRef	12
357	NomRef	69
358	NomRef	83
359	NomRef	86
360	NomRef	69
361	NomRef	40
362	NomRef	69
363	NomRef	64
364	NomRef	83
365	NomRef	83
366	NomRef	87
367	NomRef	69
368	NomRef	83
369	NomRef	67
370	NomRef	22
371	NomRef	69
372	NomRef	69
373	NomRef	69
374	NomRef	27
375	NomRef	69
376	NomRef	69
377	NomRef	69
378	NomRef	27
379	NomRef	69
380	NomRef	27
381	NomRef	69
382	NomRef	61
383	NomRef	88
384	NomRef	89
385	NomRef	42
386	NomRef	61
387	NomRef	90
388	NomRef	37
389	NomRef	91
390	NomRef	37
391	NomRef	2
392	NomRef	92
393	NomRef	22
394	NomRef	55
395	NomRef	55
396	NomRef	22
397	NomRef	42
398	NomRef	57
399	NomRef	57
400	NomRef	25
401	NomRef	57
402	NomRef	57
403	NomRef	61
404	NomRef	61
405	NomRef	62
406	NomRef	57
407	NomRef	7
408	NomRef	11
409	NomRef	17
410	NomRef	17
411	NomRef	17
412	NomRef	6
413	NomRef	2
414	NomRef	93
415	NomRef	50
416	NomRef	70
417	NomRef	50
418	NomRef	70
419	NomRef	70
420	NomRef	6
421	NomRef	69
422	NomRef	69
423	NomRef	83
424	NomRef	69
425	NomRef	69
426	NomRef	69
427	NomRef	2
428	NomRef	69
429	NomRef	69
430	NomRef	69
431	NomRef	69
432	NomRef	69
433	NomRef	69
434	NomRef	69
435	NomRef	69
436	NomRef	69
437	NomRef	91
438	NomRef	69
439	NomRef	27
440	NomRef	31
441	NomRef	30
442	NomRef	36
443	NomRef	27
444	NomRef	22
445	NomRef	37
446	NomRef	94
447	NomRef	22
448	NomRef	22
449	NomRef	22
450	NomRef	22
451	NomRef	22
452	NomRef	39
453	NomRef	22
454	NomRef	27
455	NomRef	37
456	NomRef	22
457	NomRef	6
458	NomRef	22
459	NomRef	22
460	NomRef	40
461	NomRef	54
462	NomRef	41
463	NomRef	22
464	NomRef	43
465	NomRef	22
466	NomRef	44
467	NomRef	45
468	NomRef	28
469	NomRef	20
470	NomRef	29
471	NomRef	33
472	NomRef	95
473	NomRef	28
474	NomRef	20
475	NomRef	49
476	NomRef	28
477	NomRef	29
