ReferenceID	Authors	Year	Title	Source
42	Fairmaire L	1882a	[new taxa]. 	In: Fairmaire L, Lansberge V, Bourgeois J. Mission G. Révoil aux Pays Çomalis. Faune et Flore. Coléoptères recueillis par MG Révoil chez les Çomalis. Descriptions. Challamel Ainé, Paris, iv + 104 pp, 1 pl. [VI–1882]. 
43	Gebien H	1937b	Ueber neue Tenebrioniden Ostafrikas aus den Sammlungen des Museo Civico di Storia Nautrale di Trieste.	Atti del Museo Civico di Storia Naturale di Trieste 14(2): 21–56.
44	Guérin-Méneville FE	1845	 Description de quelques-uns des Insectes les plus remarquable découverts par M. A. Delegorcue dans les pays des Boschimans, des Ama Zoulous, des Massilicatzi et au Port Natal, pendant les années 1838, 39 , 40, 41, 42, 43 et 44. 	Revue Zoologique par La Société Cuvierienne VIII: 283–286.
45	Gerstaecker A	1854	[new species description].	Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königl. Preuss. Akademie der Wissenschaften zu Berlin: 530–534.
46	Robiche G	2013	Note sur le genre Psammodes Kirby, 1818 au Mozambique et descriptions de nouvelles espèces appartenant aux genres Psammophanes Lesne, 1922 et Dichtha Haag-Rutenberg, 1871 (Coleoptera, Tenebrionidae). 	Lambillionea 113: 155–166.
47	Brancsik K	1914	Coleoptera nova.	Bericht des Museumvereines für das Comitat Trencsén 1914: 58–69.
48	Fairmaire L	1894	Coléoptères de l’Afrique intertropicale et Australe (deuxième note).	Annales de la Société Entomologique de Belgique 38(6): 314–335.
49	Fairmaire L	1888b	Coléoptères nouveaux de l’Afrique du Musée de Leyde. 	Notes from the Leyden Museum 10: 255–271.
50	Koch C	1953b	 The Tenebrionidae of southern Africa XVII Contributions to the fauna of Angola.	Publicações Culturais da Companhia de Diamantes de Angola 16: 61–96.
51	Péringuey LA	1892	Third contribution to the South-African Coleopterous Fauna.	Transactions of the South African philosophical Society 6: 1–94.
52	Quedenfeldt G	1888	Beiträge zur Kenntniss der Koleopteren-Fauna von Central-Afrika nach den Ergebnissen der Lieutenant Wissman’schen Kassai-Expedition 1883 bis 1886. 	Berliner entomologische Zeitschrift 32: 155–219.
53	Koch C	1954a	Die Tenebrioniden des südlichen Afrikas XIX Zwei neue Distretus (Perdistretus) aus dem Belgischen Congo.	Annales du Musée du Congo belge 1: 435–439.
54	Fairmaire L	1897	Coléoptères nouveaux de l’Afrique intertropicale et Australe (4e note).	Annales de la Société Entomologique de France 66: 109–155.
55	Koch C	1962a	Analysis of the Madagascan components of the subfamily Tentyriinae (Tenebrionidae, Coleoptera) with revisions of the generic systematics of the Asidini from Africa south of the Sahara and the African, Asiatic and Palaearctic Epitragina of Tentyriini.	Mémoires de l’institut de la scientifique de Madagascar 13: 1–146.
56	Fairmaire L	1901	Matériaux pour la faune Coléoptèrique de la région Malagache (11e note).	Revue d’Entomologie 20(5/6): 101–248.
57	Koch C	1960	Dritter taxonomischer Beitrag zur Kenntnis der Tenebrioniden Somalias.	Memorie della Società Entomologica Italiana 38: 257–268.
58	Gahan CJ	1900	[new species description].	On a Collection, of Insects and Arachnids made in 1895 and 1897, by C V A Peel, FZS, in Somaliland, with Descriptions of new Species. By CVA Peel, FZS, EF Austen, FA. Dixey, MA, MD, Herbert Drece, FLS, FZS, CJ Gahax, MA, Gilbert J Arrow, R McLachlan, FRS., Malcolm Burr, FZS, and RI Pocock. Proceedings of the General Meetings for Scientific Business of the Zoological Society of London, 1259 pp.
59	Pallas PS	1781	Icones Insectorum praesertim Russiae sibiriaeque peculiarum quae collegit et descriptionibus illustravit. 	Wolfgangi Waltheri, Erlangae 4, 104 pp.
60	Herbst JFW	1799	Natursystem aller bekannten in- und ausländischen Insekten als eine Fortsetzung der von Büffonschen Naturgeschichte: Nach dem System des Ritters Carl von Linné bearbeitet von Carl Gustav Jablonsky, fortgesetzt von Johann Friedrich Wilhelm Herbst. 	Berlin, I–XVI.
61	Koch C	1969	 Sechster taxonomischer Beitrag zur Kenntnis der Tenebrioniden Somalias Abhandlungen über die tropisch-xerophilen Molurini-Gattungen Phrynocolus und Phrynophanes, sowie Untergattung Somalarabes von Psammophanes. 	Entomologische Arbeiten aus dem Museum G Frey Tutzing bei München 20: 1–35
62	Koch C	1951	Die Tenebrioniden des südlichen Afikas VII Arturium nov. gen. Molurinorum ex aff Phrynocolus Lac. 	Atti della Società Italiana di Scienze Naturali 90: 89–96
63	Wilke S	1922	Die Phrynocolus-Arten des Genueser zoologischen Museums. (Col. Tenebr.). 	Berliner entomologische Zeitschrift 1922: 381.
64	Gridelli E	1939b	Coleotteri dell’Africa Orientale Italiana. 11 Contributo. Materiali per lo studio della Fauna Eritrea raccolti nel 1901–03 dal Dott. Alfredo Andreini. 	Memorie della Società Entomologica Italiana 18: 219–258.
65	Fairmaire L	1891b	Coléoptères de l’Afrique Orientale.	Comptes-rendus des Séances de la Société Entomologique de Belgique 4(20): CCLXXIX–CCCVII.
66	Haag-Rutenberg G	1877	[new species description]	In: Vincenz G (Ed.) Zur Käfer-Fauna Central-Afrikas. Gesellschaft in Wien, XXVII, 501–522. 
67	Fairmaire L	1882b	Comptes-rendus des Séances de la Société Entomologique de Belgique	Annales de la Société entomologique de Belgique, 3(16): XLII–LX.
68	Mal N	2005	Description d’une espèce nouvelle du genre Physophrynus Fairmaire, 1882 (Coleoptera: Tenebrionidae: Molurini). 	Annales Zoologici 55: 9–10.
69	Koch C	1953a	Die Tenebrioniden des südlichen Afrikas XIV Über einige neue Molurini aus dem Ungarischen Naturwissenschaftlichen Museum zu Budapest (Vorarbeiten zu einer Monographie der Molurini, 4.	Annales historico-naturales Musei nationalis hungarici 44 (series nova 3): 137–181.
70	Koch C	1953c	The Tenebrionidae of Southern Africa XXIV. Vorläufige Beschreibung neuer Tenebrioniden des Südlichen Africas aus der Sammlung der Universität Lund.	Lund University Arsskrift 49: 1–24.
71	Olivier AG	1795	Entomologie, ou histoire naturelle des insectes, avec leur caractères génériques et spécifiques, leur description, leur synonymie, et leur figure enluminée. Coléoptères. Tome troisième. 	De Lanneau, Paris, 557 pp.
72	Linnaeus C	1760	Fauna Sueciae sistens animalia Sueciae regni: Mammalia, Aves, Amphibia, Pisces, Insecta, Vermes, distributa per classes, ordines, genera et species, cum diferentiis specierum, synonymis, auctorum, locis natalium, descriptionibus insectorum; editio altera, auctiora “1761”.	Laurentii et Salvi, Stockholmiae, 48 + 578 pp., 2 pl.
73	Harold E	1878	Diagnosen neuer Coleopteren aus dem innern Africa.	Mittheilungen der münchner entomologischen Verein 2: 99–111.
74	Laporte FLN de Caumont de Castelnau	1840	Histoire naturelle des insectes coléoptères; avec une introduction renfermant l’anatomie et la physiologie des animaux articulés, par M Brullé. Tome deuxième.	P Duménil, Paris, 563 pp.
75	Bertoloni J	1849	Illustratio rerum naturalium Mozambici. Dissertatio 1 de Coleopteris.	Novi Commentarii Academiae Scientiarum Instituti Bononiensis 10: 381–434. 
76	Kirby WF	1819	A century of insects, including several new genera described from his cabinet.	The Transactions of the Linnean Society of London 12 [1817] (2): 375–482
77	Gemminger M	1870	[new names].	In: Harold E von (Ed.) Geänderte Namen. Coleopterologische Hefte 6: 119–124. 
78	Westwood JO	1875	Descriptions of new Heteromerous Coleoptera. 	Ecological Entomology 23: 223–232.
