ReferenceID	Authors	Year	Title	Source
161	Gmelin JF	1790	Caroli a Linné Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, diﬀerentiis, synonymis, locis. Editio decima tertia, aucta, reformata. Tom. I. 	Pars IV. Georg Emanuel Beer, Lipsiae, 1517–2224.
162	Baudi F	1876	Europaea et circummediterraneae faunae Tenebrionidum specierum, quae Comes Dejean in suo Catalogo, editio 3a, consignavit, ex ejusdem collectione in R. Taurinensi Musaeo asservata, cum auctorum hodierne recepta denominatione collatio. 	Deutsche Entomologische Zeitschrift 20: 1–74.
163	Gridelli E	1953	Catalogo ragionato delle specie di Coleotteri Tenebrionini dell’Arabia.	Atti del museo civico di storia naturale di Trieste 19: 3–73.
164	DeGeer C	1778	Mémoires pour servir a l’histoire des insectes.	Stockholm. Dixième Mémoire: 591–666. 
165	Koch C	1953d	The Tenebrionidae of southern Africa III Tenebrionidae from a nest of Tatera.	Revue de Zoologie et de Botanique Africaines 47: 1–30.
166	Pascoe FP	1866	Notices of new or little-known genera and species of Coleoptera.	Journal of Entomology 1866: 443–492. 
167	Péringuey LA	1886	Second contribution to the South-African Coleopterous Fauna.	Transactions of the South African Philosophical Society 4: 67–19.
168	Fabricius JC	1781	Species insectorum, exhibens eorum differentias specificas, synonyma auctorum, loca natalia, metamorphosis, adiecitis observationibus, descriptionibus. Tom I. 	Carol Ernest Bohnii, Hamburgi et Kilonii, 552 pp. 
169	Haag-Rutenberg, 1878	1878	Beschreibung neuer Arten von Heteromeren als Nachtrag zu Monographie, von Dr. Haag-Rutenberg	Mittheilungen des Münchener Entomologischen Vereins, 1878: 77-95.
170	Hope FW	1840	“Somaticus Hope”.	In: Bridgewater JC. The Coleopterist’s Manual. 3. London, 191 pp.
171	Quensel K	1806	Schoenherr CJ Synonymia Insectorum, oder: Versuch einer Synonymie aller bisher bekannten Insecten; nach Fabricii Systema Eleutheratorum geordnet. Erster Band. Eleutherata oder Käfer. 	Heinr. A. Nordstrom, Stockholm, xxii + 293 pp.
172	Fabricius JC	1798	Supplementum Entomologia systematica.	Proft & Storch, Hafniae, 572 pp.
173	Thunberg CP	1799	De Brachycero, tractatus entomologicus.	Nova Acta Regiae Societatis Scientiarum Upsaliensis 6: 11–37.
174	Thunberg CP	1791	Dissertatio entomologica novas insectorum species. 6. (Dissertatio resp. A. J. Lagus). 	Joh. Edman, Uppsaliae, i–iv, 107–130.
175	Wiedemann CRW	1823	Zweihundert neue Käfer von Java, Bengalen, und dem Vorgebirge der Guten Hoffnung.	Zoologisches Magazin 2: 3–133. 
176	Alonso-Zarazaga MA	2014	On the identity of some weevil species described by Johann Christian Fabricius (1745-1808) in the Museum of Zoology of Copenhagen (Coleoptera, Cucujoidea, Curculionoidea, Tenebrionoidea)	ZooKeys, 451: 61-91.
177	Thunberg CP	1813	Coleoptera Rostrata Capensia.	Mémoires de l’Académie Impériale des Sciences de St. Pétersbourg (5. Sér. ) 4 [1811]: 376–400. 
